,Unnamed: 0,index,course,req_type,requisite,object_tree,json_tree
0,1487,2612,HIST315,1,Prerequisite: HIST 213 recommended.,'HIST 213',{}
1,1542,2747,HIST592D2,1,Prerequisite: HIST 592D1,'HIST 592D1',{}
2,1068,1868,EDFE256D2,1,Prerequisite: EDFE 256D1,'EDFE 256D1',{}
3,1647,2880,INSY463,2,Corequisite: INSY 446,'INSY 446',{}
4,1344,3147,MATH458,1,"Prerequisites: MATH 251 or MATH 247, and MATH 248 or MATH 314 or MATH 358","['&', ['|', 'MATH 251', 'MATH 247'], ['|', 'MATH 248', 'MATH 314', 'MATH 358']]",{}
5,280,657,CCFA655,1,Prerequisites: CCCS 620 or CCFA 601 or exemption by examination.,"['|', 'CCCS 620', 'CCFA 601']",{}
6,25,78,ANAT262,2,Corequisites: ANAT 212 or BIOC 212 or BIOL 201,"['|', 'ANAT 212', 'BIOC 212', 'BIOL 201']",{}
7,2378,4119,PHGY520,1,Prerequisite: PHGY 311 ,'PHGY 311',{}
8,1163,2018,EDPE695D2,1,Prerequisite: EDPE 695D1,'EDPE 695D1',{}
9,1611,2833,INFS620,1,Prerequisite(s): INFS 601,'INFS 601',{}
10,1793,4252,PLNT430,1,"Prerequisite(s): AGRI 215, and one of PLNT 300, PLNT 302, PLNT 307, or PLNT 322 or permission from the instructor.","['&', 'AGRI 215', ['|', 'PLNT 300', 'PLNT 302', 'PLNT 307', 'PLNT 322']]",{}
11,1012,2444,GEOG303,1,"Prerequisite: One of the following: ENVR 201; GEOG 201, GEOG 203, GEOG 210, GEOG 216, GEOG 217; or permission of the instructor.","['|', 'ENVR 201','GEOG 201', 'GEOG 203', 'GEOG 210','GEOG 216','GEOG 217']",{}
12,22,67,AGEC491,1,Prerequisites: AGEC 201 or equivalent and AGEC 320 or permission of the instructor,"['&', 'AGEC 201', 'AGEC 320']",{}
13,24,76,ANAT214,1,"Prerequisites: BIOL 112 (or CEGEP equivalent), PHGY 209 and PHGY 210","['&', 'BIOL 112', 'PHGY 209', 'PHGY 210']",{}
14,557,967,CHEM244,1,Prerequisite: CHEM 234 or equivalent ,'CHEM 234',{}
15,1009,2441,GEOG291,1,"Prerequisites: GEOG 201 and one of: GEOG 203, GEOG 210, GEOG 216, GEOG 217, GEOG 272","['&', 'GEOG 201', ['|', 'GEOG 203', 'GEOG 210', 'GEOG 216', 'GEOG 217', 'GEOG 272']]",{}
16,2060,3607,MUIN380,1,Prerequisite: MUIN 281,'MUIN 281',{}
17,1727,3009,JWST368,1,Prerequisite: JWST 340 or permission of instructor,'JWST 340',{}
18,2032,3567,MUHL388,1,Prerequisites: MUHL 286,'MUHL 286',{}
19,1341,3140,MATH437,1,"Prerequisite(s): MATH 315 or MATH 325, and MATH 326 or MATH 376, and COMP 202 or COMP 204 or COMP 208 or equivalent.","['&', ['|', 'MATH 315', 'MATH 325'], ['|', 'MATH 326', 'MATH 376'], ['|', 'COMP 202', 'COMP 204', 'COMP 208']]",{}
20,81,150,ANTH432,1,Prerequisites: ANTH 332,'ANTH 332',{}
