,index,instruction
0,2612,"###User:
Prerequisite: HIST 213 recommended.

###Answer:
'HIST 213'"
1,2747,"###User:
Prerequisite: HIST 592D1

###Answer:
'HIST 592D1'"
2,1868,"###User:
Prerequisite: EDFE 256D1

###Answer:
'EDFE 256D1'"
3,2880,"###User:
Corequisite: INSY 446

###Answer:
'INSY 446'"
4,3147,"###User:
Prerequisites: MATH 251 or MATH 247, and MATH 248 or MATH 314 or MATH 358

###Answer:
['&', ['|', 'MATH 251', 'MATH 247'], ['|', 'MATH 248', 'MATH 314', 'MATH 358']]"
5,657,"###User:
Prerequisites: CCCS 620 or CCFA 601 or exemption by examination.

###Answer:
['|', 'CCCS 620', 'CCFA 601']"
6,78,"###User:
Corequisites: ANAT 212 or BIOC 212 or BIOL 201

###Answer:
['|', 'ANAT 212', 'BIOC 212', 'BIOL 201']"
7,4119,"###User:
Prerequisite: PHGY 311 

###Answer:
'PHGY 311'"
8,2018,"###User:
Prerequisite: EDPE 695D1

###Answer:
'EDPE 695D1'"
9,2833,"###User:
Prerequisite(s): INFS 601

###Answer:
'INFS 601'"
10,4252,"###User:
Prerequisite(s): AGRI 215, and one of PLNT 300, PLNT 302, PLNT 307, or PLNT 322 or permission from the instructor.

###Answer:
['&', 'AGRI 215', ['|', 'PLNT 300', 'PLNT 302', 'PLNT 307', 'PLNT 322']]"
11,2444,"###User:
Prerequisite: One of the following: ENVR 201; GEOG 201, GEOG 203, GEOG 210, GEOG 216, GEOG 217; or permission of the instructor.

###Answer:
['|', 'ENVR 201','GEOG 201', 'GEOG 203', 'GEOG 210','GEOG 216','GEOG 217']"
12,67,"###User:
Prerequisites: AGEC 201 or equivalent and AGEC 320 or permission of the instructor

###Answer:
['&', 'AGEC 201', 'AGEC 320']"
13,76,"###User:
Prerequisites: BIOL 112 (or CEGEP equivalent), PHGY 209 and PHGY 210

###Answer:
['&', 'BIOL 112', 'PHGY 209', 'PHGY 210']"
14,967,"###User:
Prerequisite: CHEM 234 or equivalent 

###Answer:
'CHEM 234'"
15,2441,"###User:
Prerequisites: GEOG 201 and one of: GEOG 203, GEOG 210, GEOG 216, GEOG 217, GEOG 272

###Answer:
['&', 'GEOG 201', ['|', 'GEOG 203', 'GEOG 210', 'GEOG 216', 'GEOG 217', 'GEOG 272']]"
16,3607,"###User:
Prerequisite: MUIN 281

###Answer:
'MUIN 281'"
17,3009,"###User:
Prerequisite: JWST 340 or permission of instructor

###Answer:
'JWST 340'"
18,3567,"###User:
Prerequisites: MUHL 286

###Answer:
'MUHL 286'"
19,3140,"###User:
Prerequisite(s): MATH 315 or MATH 325, and MATH 326 or MATH 376, and COMP 202 or COMP 204 or COMP 208 or equivalent.

###Answer:
['&', ['|', 'MATH 315', 'MATH 325'], ['|', 'MATH 326', 'MATH 376'], ['|', 'COMP 202', 'COMP 204', 'COMP 208']]"
20,150,"###User:
Prerequisites: ANTH 332

###Answer:
'ANTH 332'"
21,453,"###User:
Prerequisites: BIOL 373 or equivalent, and permission of instructor; BIOL 596 recommended

###Answer:
'BIOL 373'"
22,3821,"###User:
Prerequisite(s): NUR1 224

###Answer:
'NUR1 224'"
23,3429,"###User:
Prerequisite: MIME 710D1

###Answer:
'MIME 710D1'"
24,52,"###User:
Prerequisites: AEPH 112 or AEPH 113 or PHYS 101or PHYS 131 or equivalent.

###Answer:
['|', 'AEPH 112', 'AEPH 113', 'PHYS 101', 'PHYS 131']"
25,396,"###User:
Prerequisites: BIOL 306 or permission of instructor, COMP 202 or equivalent (any coding experience or permission of the instructor).

###Answer:
['&', 'BIOL 306', 'COMP 202']"
26,49,"###User:
Corequisite: AEMA 101 or equivalent.

###Answer:
'AEMA 101'"
27,1509,"###User:
Prerequisite: EAST 498N1

###Answer:
'EAST 498N1'"
28,1117,"###User:
Prerequisite(s): CLAS 331 or similar course or permission of instructor.

###Answer:
'CLAS 331'"
29,36,"###User:
Corequisite(s): AEBI 423, AEBI 425, AEBI 427

###Answer:
['&', 'AEBI 423', 'AEBI 425', 'AEBI 427']"
30,1741,"###User:
Prerequisites: ECSE 205, COMP 206, ECSE 250, and (ECSE 343 or MATH 247) or equivalents.

###Answer:
['&', 'ECSE 205', 'COMP 206', 'ECSE 250', ['|', 'ECSE 343', 'MATH 247']]"
31,1722,"###User:
Prerequisite: ECSE 354

###Answer:
'ECSE 354'"
32,402,"###User:
Prerequisite: BIOL 215 or equivalent.

###Answer:
'BIOL 215'"
33,1165,"###User:
Prerequisite: CMS2 533D1

###Answer:
'CMS2 533D1'"
34,4183,"###User:
Corequisite: MATH 139 or higher level calculus course.

###Answer:
'MATH 139'"
35,3153,"###User:
Prerequisites: MATH 315 or MATH 325 or MATH 263; MATH 317 or MATH 387 or COMP 350 or MECH 309; or permission of the instructor

###Answer:
['&', ['|', 'MATH 315', 'MATH 325', 'MATH 263'], ['|', 'MATH 317', 'MATH 387', 'COMP 350', 'MECH 309']]"
