index,course,req_type,requisite,object_tree,json_tree
1,"ACCT351",1,"Prerequisite: MGCR 211","["MGCR 211"]","{"prerequisites": "MGCR 211"}"
4,"ACCT361",1,"Prerequisite: MGCR 211","["MGCR 211"]","{"prerequisites": "MGCR 211"}"
5,"ACCT362",1,"Prerequisites: ACCT 361","["ACCT 361"]","{"prerequisites": "ACCT 361"}"
6,"ACCT385",1,"Prerequisite: MGCR 211","["MGCR 211"]","{"prerequisites": "MGCR 211"}"
7,"ACCT401",1,"Prerequisite: MGCR 211","["MGCR 211"]","{"prerequisites": "MGCR 211"}"
8,"ACCT434",1,"Prerequisite: MGCR 211","["MGCR 211"]","{"prerequisites": "MGCR 211"}"
10,"ACCT452",1,"Prerequisite: ACCT 354.","["ACCT 354"]","{"prerequisites": "ACCT 354"}"
11,"ACCT453",1,"Prerequisite: ACCT 352","["ACCT 352"]","{"prerequisites": "ACCT 352"}"
12,"ACCT455",1,"Prerequisite: ACCT 352","["ACCT 352"]","{"prerequisites": "ACCT 352"}"
13,"ACCT463",1,"Prerequisites: ACCT 361","["ACCT 361"]","{"prerequisites": "ACCT 361"}"
14,"ACCT475",1,"Prerequisite: ACCT 352","["ACCT 352"]","{"prerequisites": "ACCT 352"}"
15,"ACCT486",1,"Prerequisite: ACCT 385","["ACCT 385"]","{"prerequisites": "ACCT 385"}"
16,"ACCT604",1,"Prerequisite: FINE 673","["FINE 673"]","{"prerequisites": "FINE 673"}"
17,"ACCT605",1,"Prerequisite: ACCT 604","["ACCT 604"]","{"prerequisites": "ACCT 604"}"
18,"ACCT622",1,"Prerequisite: MGCR 611","["MGCR 611"]","{"prerequisites": "MGCR 611"}"
19,"ACCT623",1,"Prerequisite: ACCT 622.","["ACCT 622"]","{"prerequisites": "ACCT 622"}"
20,"ACCT624",1,"Prerequisite: MGCR 611","["MGCR 611"]","{"prerequisites": "MGCR 611"}"
21,"ACCT625",1,"Prerequisite: MGCR 611.","["MGCR 611"]","{"prerequisites": "MGCR 611"}"
23,"ACCT645D2",1,"Prerequisite: ACCT 645D1","["ACCT 645D1"]","{"prerequisites": "ACCT 645D1"}"
24,"ACCT653D2",1,"Prerequisite: ACCT 653D1.","["ACCT 653D1"]","{"prerequisites": "ACCT 653D1"}"
25,"ACCT654D2",1,"Prerequisite: ACCT 654D1","["ACCT 654D1"]","{"prerequisites": "ACCT 654D1"}"
26,"ACCT663D2",1,"Prerequisite: ACCT 663D1","["ACCT 663D1"]","{"prerequisites": "ACCT 663D1"}"
27,"ACCT664D2",1,"Prerequisite: ACCT 664D1","["ACCT 664D1"]","{"prerequisites": "ACCT 664D1"}"
32,"ACCT695",2,"Corequisite: ACCT 699","["ACCT 699"]","{"corequisites": "ACCT 699"}"
35,"ACCT699",2,"Corequisite: ACCT 695","["ACCT 695"]","{"corequisites": "ACCT 695"}"
42,"AEMA305",1,"Prerequisite: AEMA 202 or equivalent","["AEMA 202"]","{"prerequisites": "AEMA 202"}"
43,"AEMA411",1,"Prerequisite: AEMA 310 or equivalent ","["AEMA 310"]","{"prerequisites": "AEMA 310"}"
44,"AEMA414",1,"Prerequisite: AEMA 310 or equivalent ","["AEMA 310"]","{"prerequisites": "AEMA 310"}"
45,"AEMA610",1,"Prerequisite: AEMA 310 or equivalent ","["AEMA 310"]","{"prerequisites": "AEMA 310"}"
46,"AEMA611",1,"Prerequisite: AEMA 310 or equivalent","["AEMA 310"]","{"prerequisites": "AEMA 310"}"
47,"AEMA614",1,"Prerequisite: AEMA 310 or equivalent","["AEMA 310"]","{"prerequisites": "AEMA 310"}"
48,"AEPH112",2,"Corequisite: AEMA 101 or equivalent","["AEMA 101"]","{"corequisites": "AEMA 101"}"
49,"AEPH113",2,"Corequisite: AEMA 101 or equivalent.","["AEMA 101"]","{"corequisites": "AEMA 101"}"
53,"AEPH115",2,"Corequisite: AEMA 102 or equivalent","["AEMA 102"]","{"corequisites": "AEMA 102"}"
54,"AERO410",1,"Prerequisite: AERO 401","["AERO 401"]","{"prerequisites": "AERO 401"}"
55,"AERO460D1",2,"Corequisite: AERO 410","["AERO 410"]","{"corequisites": "AERO 410"}"
