index,course,req_type,requisite, object_tree, json_tree
1,"ACCT351",1,"Prerequisite: MGCR 211", "["MGCR 211"]", "{"prerequisites": "MGCR 211"}"
2,"ACCT352",1,"Prerequisites: ACCT 351 and MGCR 341", "[]", "{}"
3,"ACCT354",1,"Prerequisites: MGCR 211 and MGCR 341", "[]", "{}"
4,"ACCT361",1,"Prerequisite: MGCR 211", "["MGCR 211"]", "{"prerequisites": "MGCR 211"}"
5,"ACCT362",1,"Prerequisites: ACCT 361", "["ACCT 361"]", "{"prerequisites": "ACCT 361"}"
6,"ACCT385",1,"Prerequisite: MGCR 211", "["MGCR 211"]", "{"prerequisites": "MGCR 211"}"
7,"ACCT401",1,"Prerequisite: MGCR 211", "["MGCR 211"]", "{"prerequisites": "MGCR 211"}"
8,"ACCT434",1,"Prerequisite: MGCR 211", "["MGCR 211"]", "{"prerequisites": "MGCR 211"}"
9,"ACCT451",1,"Prerequisites: MGCR 211, MGCR 341", "[]", "{}"
10,"ACCT452",1,"Prerequisite: ACCT 354.", "["ACCT 354"]", "{"prerequisites": "ACCT 354"}"
11,"ACCT453",1,"Prerequisite: ACCT 352", "["ACCT 352"]", "{"prerequisites": "ACCT 352"}"
12,"ACCT455",1,"Prerequisite: ACCT 352", "["ACCT 352"]", "{"prerequisites": "ACCT 352"}"
13,"ACCT463",1,"Prerequisites: ACCT 361", "["ACCT 361"]", "{"prerequisites": "ACCT 361"}"
14,"ACCT475",1,"Prerequisite: ACCT 352", "["ACCT 352"]", "{"prerequisites": "ACCT 352"}"
15,"ACCT486",1,"Prerequisite: ACCT 385", "["ACCT 385"]", "{"prerequisites": "ACCT 385"}"
16,"ACCT604",1,"Prerequisite: FINE 673", "["FINE 673"]", "{"prerequisites": "FINE 673"}"
17,"ACCT605",1,"Prerequisite: ACCT 604", "["ACCT 604"]", "{"prerequisites": "ACCT 604"}"
18,"ACCT622",1,"Prerequisite: MGCR 611", "["MGCR 611"]", "{"prerequisites": "MGCR 611"}"
19,"ACCT623",1,"Prerequisite: ACCT 622.", "["ACCT 622"]", "{"prerequisites": "ACCT 622"}"
20,"ACCT624",1,"Prerequisite: MGCR 611", "["MGCR 611"]", "{"prerequisites": "MGCR 611"}"
21,"ACCT625",1,"Prerequisite: MGCR 611.", "["MGCR 611"]", "{"prerequisites": "MGCR 611"}"
22,"ACCT626",1,"Prerequisite(s): (INSY 660 OR INSY 662 OR Instructor's approval) AND (MGSC 660 OR MGSC 661 OR Instructor's approval)", "[]", "{}"
23,"ACCT645D2",1,"Prerequisite: ACCT 645D1", "["ACCT 645D1"]", "{"prerequisites": "ACCT 645D1"}"
24,"ACCT653D2",1,"Prerequisite: ACCT 653D1.", "["ACCT 653D1"]", "{"prerequisites": "ACCT 653D1"}"
25,"ACCT654D2",1,"Prerequisite: ACCT 654D1", "["ACCT 654D1"]", "{"prerequisites": "ACCT 654D1"}"
26,"ACCT663D2",1,"Prerequisite: ACCT 663D1", "["ACCT 663D1"]", "{"prerequisites": "ACCT 663D1"}"
27,"ACCT664D2",1,"Prerequisite: ACCT 664D1", "["ACCT 664D1"]", "{"prerequisites": "ACCT 664D1"}"
28,"ACCT683",1,"Prerequisite(s): ACCT 653, ACCT 654, ACCT 663, ACCT 664", "[]", "{}"
29,"ACCT687",1,"Prerequisite(s): ACCT 653, ACCT 654, ACCT 663, ACCT 664", "[]", "{}"
30,"ACCT689",1,"Prerequisite: ACCT 653, ACCT 654, ACCT 663, ACCT 664", "[]", "{}"
31,"ACCT695",1,"Prerequisite(s): Any two of the following:  ACCT 683, ACCT 685, ACCT 687, ACCT 689.", "[]", "{}"
32,"ACCT695",2,"Corequisite: ACCT 699", "["ACCT 699"]", "{"corequisites": "ACCT 699"}"
33,"ACCT696",1,"Prerequisites: (INSY 660 OR INSY 662 OR Instructor's approval) AND (MGSC 660 OR MGSC 661 OR Instructor's approval)", "[]", "{}"
34,"ACCT699",1,"Prerequisites:Any two courses of the following:  ACCT 683, ACCT 685, ACCT 687, ACCT 689.", "[]", "{}"
35,"ACCT699",2,"Corequisite: ACCT 695", "["ACCT 695"]", "{"corequisites": "ACCT 695"}"
36,"AEBI421",2,"Corequisite(s): AEBI 423, AEBI 425, AEBI 427", "[]", "{}"
37,"AEBI423",2,"Corequisite(s): AEBI 421, AEBI 425, AEBI 427", "[]", "{}"
38,"AEBI425",2,"Corequisite(s): AEBI 421, AEBI 423 and AEBI 427.", "[]", "{}"
39,"AEBI427",2,"Corequisite(s): AEBI 421, AEBI 423 and AEBI 425", "[]", "{}"
40,"AECH111",1,"Prerequisite(s): FDSC 110 or AECH 110", "[]", "{}"
41,"AEMA202",1,"Prerequisites: BREE 103 and AEMA 102 or equivalent CEGEP objectives 00UP and 00UQ or permission of instructor", "[]", "{}"
42,"AEMA305",1,"Prerequisite: AEMA 202 or equivalent", "["AEMA 202"]", "{"prerequisites": "AEMA 202"}"
43,"AEMA411",1,"Prerequisite: AEMA 310 or equivalent ", "["AEMA 310"]", "{"prerequisites": "AEMA 310"}"
44,"AEMA414",1,"Prerequisite: AEMA 310 or equivalent ", "["AEMA 310"]", "{"prerequisites": "AEMA 310"}"
45,"AEMA610",1,"Prerequisite: AEMA 310 or equivalent ", "["AEMA 310"]", "{"prerequisites": "AEMA 310"}"
46,"AEMA611",1,"Prerequisite: AEMA 310 or equivalent", "["AEMA 310"]", "{"prerequisites": "AEMA 310"}"
47,"AEMA614",1,"Prerequisite: AEMA 310 or equivalent", "["AEMA 310"]", "{"prerequisites": "AEMA 310"}"
48,"AEPH112",2,"Corequisite: AEMA 101 or equivalent", "["AEMA 101"]", "{"corequisites": "AEMA 101"}"
49,"AEPH113",2,"Corequisite: AEMA 101 or equivalent.", "["AEMA 101"]", "{"corequisites": "AEMA 101"}"
50,"AEPH114",1,"Prerequisite: AEPH 112 or AEPH 113 or PHYS 101 or PHYS 131 or CEGEP objective 00UR or equivalents, or permission of instructor", "[]", "{}"
51,"AEPH114",2,"Corequisite: AEMA 102 (or MATH 141 or higher level calculus course) or CEGEP objective 00UP, or permission of instructor.", "[]", "{}"
52,"AEPH115",1,"Prerequisites: AEPH 112 or AEPH 113 or PHYS 101or PHYS 131 or equivalent.", "[]", "{}"
53,"AEPH115",2,"Corequisite: AEMA 102 or equivalent", "["AEMA 102"]", "{"corequisites": "AEMA 102"}"
54,"AERO410",1,"Prerequisite: AERO 401", "["AERO 401"]", "{"prerequisites": "AERO 401"}"
55,"AERO460D1",2,"Corequisite: AERO 410", "["AERO 410"]", "{"corequisites": "AERO 410"}"
56,"AERO460D2",1,"Prerequisite: AERO 460D1", "["AERO 460D1"]", "{"prerequisites": "AERO 460D1"}"
57,"AGEC201",1,"Prerequisite: AGEC 200 or equivalent ", "["AGEC 200"]", "{"prerequisites": "AGEC 200"}"
58,"AGEC231",1,"Prerequisite: AGEC 200 or equivalent ", "["AGEC 200"]", "{"prerequisites": "AGEC 200"}"
59,"AGEC320",1,"Prerequisite: AGEC 200 or equivalent ", "["AGEC 200"]", "{"prerequisites": "AGEC 200"}"
60,"AGEC330",1,"Prerequisite: AGEC 200 or equivalent", "["AGEC 200"]", "{"prerequisites": "AGEC 200"}"
61,"AGEC332",1,"Prerequisite: AGEC 200 or equivalent", "["AGEC 200"]", "{"prerequisites": "AGEC 200"}"
62,"AGEC333",1,"Prerequisites: AGEC 200 or equivalent ", "["AGEC 200"]", "{"prerequisites": "AGEC 200"}"
63,"AGEC425",1,"Prerequisites: AEMA 310, AGEC 200 and AGEC 201 or equivalents ", "[]", "{}"
64,"AGEC430",1,"Prerequisites: AGEC 200 or equivalent", "["AGEC 200"]", "{"prerequisites": "AGEC 200"}"
65,"AGEC442",1,"Prerequisites: AGEC 200 or AGEC 201 or equivalent ", "[]", "{}"
66,"AGEC450",1,"Prerequisites: AGEC 231, AGEC 330, AGEC 332 and an accounting course, or approval of instructor", "[]", "{}"
67,"AGEC491",1,"Prerequisites: AGEC 201 or equivalent and AGEC 320 or permission of the instructor", "[]", "{}"
68,"AGEC491",2,"Corequisites: AGEC 425 or permission of the instructor", "["AGEC 425"]", "{"corequisites": "AGEC 425"}"
