index,predictions
3515,"['|', ['&', 'MUHL 184', 'MUHL 185', ['|', 'MUTH 211', 'MUCO 240D1/D2'], 'MUSP 231'], ['&', 'MUHL 186', 'MUHL 286', ['|', 'MUTH 250', 'MUCO 240D1/D2'], 'MUSP 241']]"
74,"['|', 'HISP 218', ['|', 'MATH 203', 'AEMA 310']]"
2458,"['|', ['&', 'ENVR 201', ['|', 'GEOG 203', 'ENVR 200', 'ESYS 200']]]"
126,"['|', 'ANTH 201', 'ANTH 202', 'HISP 225']"
1203,'COMP 251'
914,'CHEE 400'
2457,'GEOG 202'
4339,'EPIB 601'
320,'BIEN 590'
186,'ARCH 201'
236,'ARCH 722'
1916,'EDKP 223'
648,'CCFA 527'
110,"['&', 'LSCI 202', 'LSCI 230']"
3283,'MECH 610'
4640,'SOCI 652'
4014,'NUTR 656'
2851,'INFS 680'
3276,"['&', 'MECH 240', ['|', 'MECH 309', 'MATH 317'], 'MECH 331', 'MECH 341', 'MECH 346']"
242,"['&', 'ARTH 606', 'ARTH 607']"
2184,'ENVR 301'
4237,'PHYS 692D1'
1483,'EAST 230'
394,"['&', 'BIOL 219', ['|', ['&', 'BIOL 200', ['|', 'BIOL 201', 'ANAT 212', 'BIOC 212']], 'CHEM 212', ['|', 'COMP 202', 'COMP 204', 'COMP 250'], 'MATH 222']]"
151,"['|', 'ANTH 338', 'ANTH 336']"
469,"['&', ['|', 'CHEM 211', 'CHEM 212'], 'MATH 222', 'PHYS 230']"
3080,'LSCI 401'
141,"['|', 'ANTH 357', 'ANTH 359']"
1791,'EDEC 245'
139,"['|', 'ANTH 201', 'ANTH 210']"
63,"['&', 'AEMA 310', ['|', 'AGEC 200', 'AGEC 201']]"
3473,'MGCR 352'
143,"['|', 'ANTH 352', 'ANTH 355']"
1902,"['&', ['|', 'EDIN 601', 'EDIN 601D1/D2'], 'EDTL 604', 'EDEM 690']"
686,"['&', 'CCPA 601', 'CCPA 602', 'CCPA 631', ['|', 'CCPA 621', 'CCPA 622', 'CCPA 623', 'CCPA 624']]"
138,"['|', 'ANTH 201', 'ANTH 203', 'ANTH 210']"
2517,'GEOG 699N1'
3345,"['|', 'MIME 209', 'MECH 262', 'CIVE 302', 'CHEE 231', 'ECSE 205']"
2346,"['|', ['&', 'FDSC 211', 'FDSC 230', 'FDSC 233'], ['&', 'LSCI 211', 'FDSC 230', 'FDSC 233']]"
82,'PHGY 210'
358,'MATH 222'
468,"['&', 'CHEE 380', 'CHEM 212', 'BIOL 201']"
2028,'EDPE 721D1'
1284,"['|', 'COMS 210', 'COMS 200', 'COMS 230']"
1148,'CMRK 200'
3946,'NUR2 620'
4532,'RELG 357'
3575,'MUHL 286'
153,"['|', ['&', 'ANTH 204', 'ANTH 314'], ['&', 'ANTH 204', 'ANTH 352'], ['&', 'ANTH 204', 'ANTH 355'], ['&', 'ANTH 204', 'ANTH 430'], ['&', 'ANTH 314', 'ANTH 352'], ['&', 'ANTH 314', 'ANTH 355'], ['&', 'ANTH 314', 'ANTH 430'], ['&', 'ANTH 352', 'ANTH 355'], ['&', 'ANTH 352', 'ANTH 430'], ['&', 'ANTH 355', 'ANTH 430']]"
1697,'ECSE 496'
4326,'POTH 663'
3077,'LLCU 602'
3337,'LSCI 230'
945,'CHEE 314'
1256,"['&', ['|', 'COMP 451', 'COMP 551'], 'MATH 222', 'MATH 223', 'MATH 323']"
3591,'MUIN 180'
98,"['&', 'ANAT 695', 'ANAT 696']"
1452,'DENT 581J2'
262,"['|', 'MATH 314', 'MATH 315']"
1901,"['|', 'EDTL 626', 'EDTL 628', 'EDTL 630', 'EDTL 612', 'EDTL 634', 'EDTL 636']"
1521,'EAST 440'
2920,'ISLA 210'
3300,'MGCR 650'
4083,'PHAR 301'
